product_id,ts_create,ts_update,bank_id,status,address_id,company_id,agent_id,email_agent_id,phone_agent_id,direction_id,partner_company_id,online_id,channel_id,source_id,system_id
5,145815636.0,146503554.0,578,5,1230,21897,39,127,32,14,76,10047,9158,0,4
0,145815636.0,146236422.0,1013,9,242,9079,128,183,62,8,50,10046,9159,0,4
0,145815636.0,146506308.0,655,9,3690,23273,135,140,104,8,49,10045,9160,0,4
0,145815642.0,146506320.0,814,9,84,24879,135,140,104,8,49,10044,9161,0,4
5,145815642.0,145858914.0,424,7,2731,18464,165,46,56,14,33,10043,9162,0,4
5,145815642.0,146506002.0,111,4,294,703,165,46,56,14,33,10042,9163,0,4
0,145815642.0,145190172.0,960,9,2249,13681,128,183,62,8,50,10041,9164,0,4
0,145815642.0,146237802.0,685,9,2556,22734,135,140,104,8,49,10040,9165,0,4
5,145815648.0,146502612.0,122,4,2170,210,39,127,32,14,76,10039,9166,0,4
5,145815648.0,146504724.0,125,4,2665,158,39,127,32,14,76,10038,9167,0,4
4,145815648.0,146505108.0,570,4,2253,7763,36,112,41,12,8,10037,0,3,2
0,145815648.0,146503464.0,967,9,1525,25504,128,183,62,8,50,10036,9168,0,4
0,145815654.0,146506488.0,655,9,2383,23265,135,140,104,8,49,10035,9169,0,4
4,145815654.0,145822200.0,898,0,0,36491,171,168,42,12,57,10034,74,1,2
0,145815654.0,145815654.0,777,2,0,24795,135,140,104,8,49,10033,9170,0,4
0,145815654.0,146237190.0,822,9,745,24942,135,140,104,8,49,10032,9171,0,4
4,145815654.0,145822560.0,834,0,0,44811,171,168,42,12,57,10031,42,1,2
0,145815654.0,146504244.0,747,9,567,6623,135,140,104,8,49,10030,9172,0,4
5,145815654.0,145895580.0,900,1,3408,36635,39,127,32,14,76,10029,9173,0,4
0,145815660.0,145888056.0,1011,9,556,8942,128,183,62,8,50,10028,9174,0,4
0,145815660.0,145945644.0,858,9,1321,17791,128,183,62,8,50,10027,9175,0,4
5,145815660.0,146236446.0,415,7,266,4652,165,46,56,14,33,10026,9150,0,4
5,145815660.0,145926234.0,465,9,1058,19403,39,127,32,14,76,10025,9176,0,4
0,145815666.0,146503614.0,975,4,2393,8194,128,183,62,8,50,10024,9149,0,4
0,145815666.0,146239218.0,686,9,1879,22888,135,140,104,8,49,10023,9147,0,4
0,145815666.0,146237190.0,823,9,745,25001,135,140,104,8,49,10022,9122,0,4
4,145815666.0,145821480.0,715,0,0,42021,171,168,42,12,57,10021,56,1,2
0,145815666.0,146236404.0,814,4,1406,25107,135,140,104,8,49,10102,9123,0,4
5,145815666.0,145194912.0,238,9,1734,33523,165,46,56,14,33,10101,9124,0,4
5,145815666.0,146239686.0,1048,4,1192,11554,39,127,32,14,76,10100,9125,0,4
0,145815672.0,145979610.0,391,5,1551,8069,128,183,62,8,50,10099,9126,0,4
